,index,RK,TEAM,CONF,G,W,ADJOE,ADJDE,BARTHAG,EFG_O,EFG_D,TOR,TORD,ORB,DRB,FTR,FTRD,2P_O,2P_D,3P_O,3P_D,ADJ_T,WAB,POSTSEASON,SEED
0,2,3,Gonzaga,WCC,33,31,121.3,94.3,0.9472,57.5,47.6,15.3,18.4,33.6,22.7,38.8,21.8,57.4,47.4,38.6,32.0,72.0,7.7,1,1.0
1,3,4,Dayton,A10,31,29,119.5,93.4,0.9445,59.7,46.6,18.0,18.8,26.4,26.6,33.9,30.9,62.3,45.1,37.1,33.0,67.5,6.8,2,1.0
2,9,10,San Diego St.,MWC,31,30,113.8,92.8,0.9119,54.6,45.2,16.2,21.3,28.2,25.4,28.3,30.6,53.0,45.3,37.9,30.1,64.7,6.7,4,3.0
3,0,1,Kansas,B12,30,28,116.1,87.7,0.9616,53.7,43.7,18.7,18.6,32.6,26.4,35.8,23.2,54.9,42.4,34.1,30.5,67.4,10.8,4,1.0
4,1,2,Baylor,B12,30,26,114.5,88.4,0.9513,49.4,45.2,17.8,22.7,35.8,29.8,30.8,30.8,47.5,44.4,35.1,31.1,66.2,8.5,8,1.0
5,16,17,BYU,WCC,31,24,115.9,96.0,0.8973,58.1,49.0,15.5,18.2,20.6,24.1,23.4,27.9,54.8,50.8,41.9,30.3,69.4,2.7,8,5.0
6,17,18,Oregon,P12,31,24,117.5,97.4,0.8968,54.3,47.3,17.5,19.8,32.7,31.1,28.9,29.5,51.4,46.2,39.6,32.6,65.2,4.7,8,5.0
7,25,26,Maryland,B10,31,24,112.6,94.7,0.8797,48.6,46.1,16.7,17.3,31.5,26.6,37.7,24.2,50.1,44.5,31.1,32.5,67.1,6.8,8,7.0
8,4,5,Michigan St.,B10,31,22,114.8,91.3,0.9326,52.6,43.3,18.1,15.8,32.8,26.0,30.8,29.3,52.9,43.4,34.8,28.7,69.3,5.2,16,2.0
9,5,6,Duke,ACC,31,25,115.3,91.9,0.931,52.6,45.7,17.8,20.2,34.8,28.0,35.6,30.9,52.5,46.0,35.2,29.9,71.7,5.1,16,2.0
